Time,Conv Layers,Dense_layers,Dropout Rate,L2 Rate,Accuracy
2025-03-18 18:30:26.280807,1,128,0.3,0.01,0.6113883342593909
2025-03-18 18:31:48.673119,2,128,0.3,0.01,0.8231790721416473
2025-03-18 18:33:11.640846,3,128,0.3,0.01,0.8831790685653687
2025-03-18 18:34:44.012362,4,128,0.3,0.01,0.878893357515335
2025-03-18 18:36:41.135425,5,128,0.3,0.01,0.9032796740531921
2025-03-18 18:39:28.246469,6,128,0.3,0.01,0.8817706167697906
2025-03-18 18:40:55.549845,3,32,0.3,0.01,0.8888732373714447
2025-03-18 18:42:37.858612,3,64,0.3,0.01,0.8788531124591827
2025-03-18 18:44:28.906211,3,128,0.3,0.01,0.9017504930496216
2025-03-18 18:46:40.974807,3,256,0.3,0.01,0.8731589555740357
2025-03-18 18:50:11.403997,3,512,0.3,0.01,0.8945875227451324
2025-03-18 18:54:07.075444,3,1024,0.3,0.01,0.897464781999588
2025-03-18 18:56:19.425758,3,128,0.2,0.01,0.897464781999588
2025-03-18 18:58:34.726784,3,128,0.25,0.01,0.8859959721565247
2025-03-18 19:01:11.726791,3,128,0.3,0.01,0.8831388235092164
2025-03-18 19:03:50.442418,3,128,0.35,0.01,0.8931790649890899
2025-03-18 19:06:32.251122,3,128,0.4,0.01,0.8660160899162292
2025-03-18 19:09:21.856694,3,128,0.45,0.01,0.8860160827636718
2025-03-18 19:12:02.525717,3,128,0.5,0.01,0.88175048828125
2025-03-18 19:14:28.700980,3,128,0.3,0.0,0.8917303740978241
2025-03-18 19:17:33.665172,3,128,0.3,0.01,0.8803219199180603
2025-03-18 19:20:57.834997,3,128,0.3,0.02,0.8888933479785919
2025-03-18 19:24:34.084573,3,128,0.3,0.03,0.8802816927433014
2025-03-18 19:28:03.184783,3,128,0.3,0.04,0.8960160851478577
2025-03-18 19:31:45.650464,3,128,0.3,0.05,0.81032193005085
2025-03-18 19:35:54.481265,3,128,0.3,0.06,0.9246076345443726
2025-03-18 19:39:56.425953,3,128,0.3,0.07,0.8788732290267944
2025-03-18 19:44:24.347421,3,128,0.3,0.08,0.8259959757328034
2025-03-18 19:48:31.261673,3,128,0.3,0.09,0.751388319581747
2025-03-18 19:52:22.466753,3,128,0.3,0.1,0.6871026180684566
